parameter,CharacteristicName,ResultAnalyticalMethod.MethodName,USGSPCode,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultMeasure.MeasureUnitCode,ResultSampleFractionText,tier,min_value,max_value,n
Absorbance at 412 nm,Absorbance at 412 nm,"Absorbance, 200 to 800 nm",32298,ABS01,USGS,AU/cm,Dissolved,0,0.05,10.94,2629
Fluorescence index,Fluorescence index,"Fluorescence scan, 250-620 nm",32312,FL020,USGS,None,Dissolved,0,1.134,2.171,2476
FDOM,"Fluorescence, excitation 300 emission 390","Fluorescence scan, 250-620 nm",32309,FL020,USGS,RU,Dissolved,0,0.003,5.971,2476
FDOM,"Fluorescence, excitation 340 emission 440","Fluorescence scan, 250-620 nm",52901,FL020,USGS,RU,Dissolved,0,0.001,7.14,2474
FDOM,"Fluorescence, excitation 370 emission 460","Fluorescence scan, 250-620 nm",52902,FL020,USGS,RU,Dissolved,0,0.001,5.26,2419
FDOM,"Fluorescence, excitation 260 emission 450","Fluorescence scan, 250-620 nm",32304,FL020,USGS,RU,Dissolved,0,0.0096,15.02,2379
FDOM,"Fluorescence, excitation 390 emission 510","Fluorescence scan, 250-620 nm",32307,FL020,USGS,RU,Dissolved,0,0.0015,3.236,2338
FDOM,"Fluorescence, excitation 280 emission 370","Fluorescence scan, 250-620 nm",32310,FL020,USGS,RU,Dissolved,0,0.0117,5.096,2319
Absorbance at 254 nm,UV 254,"UV Absorb, 254 nm, silver (NWQL)",50624,UV004,USGS,units/cm,Dissolved,0,0.1,143,1990
SUVA,UV 254,NA,63162,NA,NA,L/mgDOC*m,Dissolved,0,0.3,6.3,1809
FDOM,"Fluorescence, excitation 275 emission 340","Fluorescence scan, 250-620 nm",32311,FL020,USGS,RU,Dissolved,0,0.0026,3.517,1713
Absorbance at 280 nm,Absorbance at 280 nanometers,"UV Absorb, 280 nm,silver (annon)",61726,UV001,USGS,units/cm,Dissolved,0,0.1,9930000,1697
FDOM,Colored dissolved organic matter (CDOM),Colorized Dissolved Organic Matter,NA,FLUORO,COEOMAHA_WQX,ug/L,NA,2,10,268,1683
Absorbance at 254 nm,Specific UV Absorbance at 254 nm,5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,#/cm,Dissolved,0,8.584242314100266e-4,65.2,1577
FDOM,Colored dissolved organic matter (CDOM),Turner Designs Trilogy Fluorometer with CDOM specific excitation/emission filters for monitoring CDOM in natural waters,NA,TurnerDesigns-CDOM,31DELRBC_WQX,RFU,Dissolved,2,472.56,9261.5,1557
"Absorption spectral slope, 412 to 676 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32303,ABS02,USGS,None,Dissolved,0,0.0029,0.0292,1509
FDOM,Colored dissolved organic matter (CDOM),NA,32295,NA,NA,ug/l QSE,Dissolved,0,0,32300,1449
Absorbance at 440 nm,Absorbance at 440 nm,Dissolved Organic Matter Absorption Coefficient (Gelbstoff),NA,L01~CDOM_440,CBP_WQX,per m,NA,2,0.1228,22.4692,1414
"Absorption spectral slope, 400 to 500 nm",Absorbance at 440 nm,Slope Of CDOM Absorption Coefficient Spectrum (400 To 500 Nm),NA,L01~CDOM_SLOPE,CBP_WQX,nm-1,NA,2,0.0075,0.0258,1414
FDOM,Colored dissolved organic matter (CDOM),NA,32322,NA,NA,RFU,Total,2,0,4060,1345
"Absorption spectral slope, 412 to 600 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32331,ABS02,USGS,None,Dissolved,0,0.003,0.017,973
Absorbance at 254 nm,UV 254,5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,units/cm,Total,2,1.6,146,821
SUVA,Specific UV Absorbance at 254 nm,"UV absorbance, 254 nm",NA,"UV absorbance, 254 nm",YRITWC,L/mg-cm,Dissolved,0,0,129647.179098242,816
Absorbance at 254 nm,UV 254,"UV absorbance, 254 nm",NA,"UV absorbance, 254 nm",YRITWC,nm,Dissolved,2,0,715.122664426822,770
Absorbance at 440 nm,Absorbance at 440 nm,Gross Alpha and Beta Activity in Water,NA,00-01,USEPA,units/cm,Total,2,0.1,21.3,719
FDOM,"Fluorescence, excitation 275 emission 304","Fluorescence scan, 250-620 nm",32305,FL020,USGS,RU,Dissolved,0,0.0041,1.075,699
Absorbance at 254 nm,UV 254,"Absorbance, 254 nm, wf (SM5910)",50624,UV011,USGS,units/cm,Dissolved,0,0,35.099999999999994,634
FDOM,Colored dissolved organic matter (CDOM),"YSI EXO fluorometer, 365/480 nm",32295,FL017,USGS,ug/l QSE,Dissolved,0,0.1,211.7,631
Absorbance at 254 nm,UV 254,Determination of Total Organic Carbon and Specific UV Absorbance at 254 nm in Source Water and Drinking Water,NA,415.3,USEPA,units/cm,Dissolved,0,1.5,38.800000000000004,400
FDOM,Colored dissolved organic matter (CDOM),NA,32289,NA,NA,mg/l,Dissolved,2,670,2510,385
Absorbance at 440 nm,Absorbance at 440 nm,"Determination of UV Absorbance at 440 nm in Water, by MDH modified method",NA,MDH055,MNPCA,units/cm,Total,2,0.1,8.15,324
Absorbance at 254 nm,UV 254,UV Absorbance at 254 nm,NA,UVA_UV_254,11NPSWRD_WQX,#/cm,Dissolved,0,1.3,18.4,319
FDOM,Colored dissolved organic matter (CDOM),"Turner Designs fluoro.,365/470nm",32295,FL013,USGS,ug/l QSE,Dissolved,0,37.9,1087,207
Absorbance at 254 nm,UV 254,5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,units/cm,NA,2,2.8000000000000003,137,194
Fluorescence index,Fluorescence index,Fluorescence Index,32312,ABS06,USGS,None,Dissolved,2,1,2,187
FDOM,"Fluorescence, excitation 260 emission 450",Spectrometry - 5 x 2 matrix scan,32304,ABS04,USGS,RU,Dissolved,0,0.048,2.452,187
FDOM,"Fluorescence, excitation 275 emission 340",Spectrometry - 5 x 2 matrix scan,32311,ABS04,USGS,RU,Dissolved,0,0.012,0.6921,187
FDOM,"Fluorescence, excitation 280 emission 370",Spectrometry - 5 x 2 matrix scan,32310,ABS04,USGS,RU,Dissolved,0,0.019,1.048,187
FDOM,"Fluorescence, excitation 300 emission 390",Spectrometry - 5 x 2 matrix scan,32309,ABS04,USGS,RU,Dissolved,0,0.022,1.218,187
FDOM,"Fluorescence, excitation 340 emission 440",Spectrometry - 5 x 2 matrix scan,32332,ABS04,USGS,RU,Dissolved,0,0.029,1.312,187
FDOM,"Fluorescence, excitation 370 emission 460",Spectrometry - 5 x 2 matrix scan,32333,ABS04,USGS,RU,Dissolved,0,0.02,1.105,187
FDOM,"Fluorescence, excitation 390 emission 510",Spectrometry - 5 x 2 matrix scan,32307,ABS04,USGS,RU,Dissolved,0,0.011,0.6395,187
Absorbance at 412 nm,Absorbance at 412 nm,"UV absorbance, wf, 412 nm",66700,UV010,USGS,AU/cm,Dissolved,0,0.4,15.7,165
Absorbance at 254 nm,UV 254,5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,units/cm,Dissolved,0,18.4,293,165
FDOM,Colored dissolved organic matter (CDOM),NA,32330,NA,NA,mg/l,Total,2,120,29640,154
SUVA,"Specific UV Absorbance at 254 nm, corrected for Fe",5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,L/mg-cm,Dissolved,0,246,451,153
FDOM,Colored dissolved organic matter (CDOM),NA,NA,NA,NA,ug/L,NA,2,19.071421633,106.5636,130
Absorbance at 440 nm,Absorption coefficient at 440 nm,5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,#/cm,NA,2,0.205315789610483,17.4518149746849,123
SUVA,Specific UV Absorbance at 254 nm,5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,L/mg-cm,NA,2,1.2248924403527899,4.8444908009666,123
FDOM,"Fluorescence, excitation 420 emission 460","Fluorescence scan, 250-620 nm",32355,FL020,USGS,RU,Dissolved,0,0.0215,0.518,119
Absorbance at 254 nm,"UV Absorption, relative conc. of organic constituents",5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,units/cm,Total,2,9.08,146,97
Absorbance at 254 nm,Specific UV Absorbance at 254 nm,5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,units/cm,Total,2,0.03,25.14,95
FDOM,"Fluorescence, excitation 275 emission 304",Spectrometry - 5 x 2 matrix scan,32305,ABS04,USGS,RU,Dissolved,0,0.0186,0.2625,93
"Absorption spectral slope, 412 to 676 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32303,ABS02,USGS,NA,Dissolved,0,1.3285449892282486e-4,0.01718643555790186,85
Absorbance at 280 nm,Absorbance at 280 nanometers,NA,61726,NA,NA,units/cm,Dissolved,0,0.3,67.80000000000001,78
Absorbance at 254 nm,UV 254,Determination of Total Organic Carbon and Specific UV Absorbance at 254 nm in Source Water and Drinking Water,NA,415.3,USEPA,None,NA,2,0.012,0.227,73
SUVA,"UV Absorption, relative conc. of organic constituents",Determination of Total Organic Carbon and Specific UV Absorbance at 254 nm in Source Water and Drinking Water,NA,415.3,USEPA,None,NA,2,1.6,4.4,73
FDOM,"Fluorescence, excitation 275 emission 304",Spectrometry - 5 x 2 matrix scan,32305,ABS04,USGS,NA,Dissolved,2,0.0017291020412242505,0.24836735259868437,73
Absorbance at 440 nm,Colored dissolved organic matter (CDOM),CDOM absorption (440nm),NA,CDOM absorption,RTI,m,NA,2,0.0793650793650794,28.13,58
FDOM,Colored dissolved organic matter (CDOM),"YSI EXO, 365/480/80 nm",32295,FL029,USGS,ug/l QSE,Dissolved,0,5.25,93.2,54
FDOM,Colored dissolved organic matter (CDOM),"YSI EXO, 365/480/80 nm",32322,FL029,USGS,RFU,Total,2,1.75,24.48,48
Absorbance at 440 nm,Absorbance at 440 nm,Gross Alpha and Beta Activity in Water,NA,00-01,USEPA,NA,Total,2,7.303065853193402e-6,4.829728549811989e-4,41
Absorbance at 440 nm,Absorbance at 440 nm,"Determination of UV Absorbance at 440 nm in Water, by MDH modified method",NA,MDH055,MNPCA,NA,Total,2,2.388408116530627e-5,0.0035820424631237986,38
Absorbance at 412 nm,Absorbance at 412 nm,"UV absorbance, wf, 412 nm",66700,UV010,USGS,NA,Dissolved,2,4.6773324080277236e-5,0.005267601660685613,34
Absorbance at 254 nm,UV 254,Determination of Total Organic Carbon and Specific UV Absorbance at 254 nm in Source Water and Drinking Water,NA,415.3,USEPA,units/cm,Total,2,4.55,42.8,34
"Absorption spectral slope, 350 to 400 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32302,ABS02,USGS,NA,Dissolved,0,5.329619161784649e-5,0.00889589355327189,18
FDOM,"Fluorescence, excitation 275 emission 304","Fluorescence scan, 250-620 nm",32305,FL020,USGS,NA,Dissolved,2,9.440795486583374e-4,0.024975602298771382,18
"Absorption spectral slope, 290 to 350 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32301,ABS02,USGS,NA,Dissolved,0,7.145695853978395e-5,0.007584411384304985,14
Absorbance at 254 nm,UV 254,"Determination of UV Absorbance at 440 nm in Water, by MDH modified method",NA,MDH055,MNPCA,None,Dissolved,2,1,1,11
"Absorption spectral slope, 412 to 600 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32331,ABS02,USGS,NA,Dissolved,0,2.522480860352516e-4,0.0024490436171181497,10
Absorbance at 254 nm,UV 254,Computation by NWIS algorithm,63162,ALGOR,USGS,NA,Dissolved,2,0.009155257767997683,0.07818130454979837,8
Absorbance at 254 nm,UV 254,5910 B ~ UV - Absorbing Organic Compounds,NA,5910-B,APHA,units/cm,None,2,0,3.54,6
FDOM,Colored dissolved organic matter (CDOM),"YSI EXO fluorometer, 365/480 nm",32322,FL017,USGS,RFU,Total,2,0.06,12.66,5
Absorbance at 254 nm,UV 254,"UV Absorb, 254 nm, Supor (NWQL)",50624,UV006,USGS,NA,Dissolved,2,5.150156264426187e-5,0.001520657525456045,5
Absorbance at 280 nm,Absorbance at 280 nanometers,"UV Absorb, 280 nm, Supor (annon)",61726,UV002,USGS,NA,Dissolved,2,1.2152175244409591e-4,0.0015962874259566888,5
"Absorption spectral slope, 275 to 295 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32300,ABS02,USGS,NA,Dissolved,0,2.7608668666798624e-4,0.012407672131201251,4
FDOM,Colored dissolved organic matter (CDOM),NA,32314,NA,NA,ug/l QSE,Dissolved,2,49.8,121,3
Absorbance at 254 nm,UV 254,"UV Absorb, 254 nm, silver (NWQL)",50624,UV004,USGS,NA,Dissolved,2,0.0014522157409228385,0.001645282523764763,2
Fluorescence index,Fluorescence index,"Fluorescence scan, 250-620 nm",32312,FL020,USGS,NA,Dissolved,0,0.05246127112827963,0.24714595501776784,2
Absorbance at 280 nm,Absorbance at 280 nanometers,"UV Absorb, 280 nm, GFF (NWQL)",61726,UV007,USGS,NA,Dissolved,2,4.3944966926937924e-4,0.01803806602838449,2
Absorbance at 254 nm,UV 254,"UV Absorb, 254 nm, GFF (NWQL)",50624,UV005,USGS,NA,Dissolved,2,0.0010574763402692042,0.018389529979322108,2
Absorbance at 254 nm,UV 254,NA,50624,NA,NA,NA,Dissolved,2,2.493273412110284e-4,2.77392448624596e-4,2
Absorbance at 440 nm,Absorbance at 440 nm,"Absorbance, 200 to 800 nm",32299,ABS01,USGS,NA,Dissolved,2,6.541038034483791e-4,0.0012573953862302005,2
Absorbance at 254 nm,UV 254,UV - Absorbing Organic Compounds,NA,5910-B,KAWNATON_WQX,cm,NA,2,12.4,12.4,1
Absorbance at 280 nm,Absorbance at 280 nanometers,"UV Absorb, 280 nm,silver (annon)",61726,UV001,USGS,NA,Dissolved,2,2.7862197253853083e-4,2.7862197253853083e-4,1
Absorbance at 440 nm,Absorbance at 440 nm,Determination of UV Absorbance at 440 nm in Water,NA,USEPA 415.3_440,MNPCA,#/cm,Total,2,4.33,4.33,1
SUVA,Specific UV Absorbance at 254 nm,Determination of Total Organic Carbon and Specific UV Absorbance at 254 nm in Source Water and Drinking Water,NA,415.3,USEPA,L/mg-cm,Total,2,258.2,258.2,1
SUVA,"Specific UV Absorbance at 254 nm, corrected for Fe",Determination of Total Organic Carbon and Specific UV Absorbance at 254 nm in Source Water and Drinking Water,NA,415.3,USEPA,L/mg-cm,Total,2,238.49999999999997,238.49999999999997,1
Absorbance at 254 nm,UV 254,Determination of Total Organic Carbon and Specific UV Absorbance at 254 nm in Source Water and Drinking Water,NA,415.3,USEPA,#/cm,Total,2,22.33,22.33,1
Absorbance at 280 nm,Absorbance at 280 nanometers,NA,61726,NA,NA,NA,Dissolved,0,3.8562315050512555e-5,3.8562315050512555e-5,1
Absorbance at 254 nm,UV 254,"UV absorbance, wf, 254 nm",50624,UV008,USGS,NA,Dissolved,2,1.0902643343433738e-4,1.0902643343433738e-4,1
Absorbance at 280 nm,Absorbance at 280 nanometers,"Absorbance, 200 to 800 nm",32296,ABS01,USGS,NA,Dissolved,2,0.0025234381553018463,0.0025234381553018463,1
Absorbance at 370 nm,Absorbance at 370 nanometers,"Absorbance, 200 to 800 nm",32297,ABS01,USGS,NA,Dissolved,2,0.0014878801360027865,0.0014878801360027865,1
